ME-500,Maine Statewide CoC,"2,632",758,"1,830","2,588",44,"1,241",539,662,"1,201",40,"1,391",219,"1,168","1,387",4,491,73,416,489,2,132,123,9
MI-500,Michigan Balance of State CoC,"2,355",854,532,"1,386",969,"1,014",321,175,496,518,"1,341",533,357,890,451,446,182,109,291,155,156,79,77
MI-501,Detroit CoC,"18,062","3,399","1,339","4,738","13,324","11,913","2,608","1,027","3,635","8,278","6,149",791,312,"1,103","5,046","1,520",258,128,386,"1,134","1,503",261,"1,242"
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",865,374,244,618,247,513,292,124,416,97,352,82,120,202,150,97,23,31,54,43,122,42,80
MI-503,"St. Clair Shores, Warren/Macomb County CoC",769,215,36,251,518,541,140,28,168,373,228,75,8,83,145,77,23,3,26,51,163,32,131
MI-504,"Pontiac, Royal Oak/Oakland County CoC","1,011",224,178,402,609,804,152,50,202,602,207,72,128,200,7,51,18,32,50,1,190,167,23
MI-505,Flint/Genesee County CoC,245,194,33,227,18,129,99,20,119,10,116,95,13,108,8,40,32,5,37,3,26,23,3
MI-506,"Grand Rapids, Wyoming/Kent County CoC",794,329,423,752,42,407,220,151,371,36,387,109,272,381,6,132,33,96,129,3,109,73,36
MI-507,"Portage, Kalamazoo City & County CoC",862,499,284,783,79,276,204,29,233,43,586,295,255,550,36,148,77,57,134,14,70,70,0
MI-508,"Lansing, East Lansing/Ingham County CoC",408,291,100,391,17,205,127,61,188,17,203,164,39,203,0,77,60,17,77,0,122,105,17
MI-509,Washtenaw County CoC,413,239,118,357,56,285,168,61,229,56,128,71,57,128,0,39,21,18,39,0,85,48,37
MI-510,Saginaw City & County CoC,361,117,157,274,87,237,85,93,178,59,124,32,64,96,28,43,14,20,34,9,57,56,1
MI-511,Lenawee County CoC,93,74,11,85,8,45,42,1,43,2,48,32,10,42,6,16,10,4,14,2,20,19,1
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",241,98,118,216,25,165,80,60,140,25,76,18,58,76,0,26,6,20,26,0,55,36,19
MI-513,"Marquette, Alger Counties CoC",37,14,23,37,0,16,8,8,16,0,21,6,15,21,0,8,3,5,8,0,0,0,0
MI-514,Battle Creek/Calhoun County CoC,274,111,53,164,110,193,53,38,91,102,81,58,15,73,8,27,20,3,23,4,46,46,0
MI-515,Monroe City & County CoC,142,84,47,131,11,109,51,47,98,11,33,33,0,33,0,12,12,0,12,0,16,6,10
MI-516,"Norton Shores, Muskegon City & County CoC",351,76,95,171,180,113,54,34,88,25,238,22,61,83,155,76,11,18,29,47,16,9,7
MI-517,Jackson City & County CoC,414,109,235,344,70,217,74,87,161,56,197,35,148,183,14,69,13,51,64,5,2,1,1
MI-518,Livingston County CoC,63,23,35,58,5,25,15,5,20,5,38,8,30,38,0,13,3,10,13,0,4,3,1
MI-519,Holland/Ottawa County CoC,291,93,198,291,0,120,65,55,120,0,171,28,143,171,0,46,9,37,46,0,6,6,0
MI-523,Eaton County CoC,197,46,59,105,92,37,1,1,2,35,160,45,58,103,57,43,13,13,26,17,3,2,1
MN-500,Minneapolis/Hennepin County CoC,"3,369","1,777","1,036","2,813",556,"1,670",844,306,"1,150",520,"1,699",933,730,"1,663",36,529,257,260,517,12,905,668,237
MN-501,Saint Paul/Ramsey County CoC,"1,294",496,674,"1,170",124,618,315,188,503,115,676,181,486,667,9,216,66,147,213,3,240,189,51
MN-502,Rochester/Southeast Minnesota CoC,446,154,259,413,33,143,87,40,127,16,303,67,219,286,17,91,23,61,84,7,32,26,6
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",800,130,534,664,136,141,24,71,95,46,659,106,463,569,90,210,35,151,186,24,38,18,20
MN-504,Northeast Minnesota CoC,230,32,82,114,116,98,21,17,38,60,132,11,65,76,56,40,4,18,22,18,24,4,20
MN-505,St. Cloud/Central Minnesota CoC,389,201,112,313,76,187,104,40,144,43,202,97,72,169,33,71,34,26,60,11,69,33,36
MN-506,Northwest Minnesota CoC,230,66,133,199,31,75,28,24,52,23,155,38,109,147,8,57,16,38,54,3,39,28,11
MN-508,Moorhead/West Central Minnesota CoC,242,87,78,165,77,144,50,25,75,69,98,37,53,90,8,35,10,21,31,4,82,49,33
MN-509,Duluth/St.Louis County CoC,501,82,212,294,207,270,56,49,105,165,231,26,163,189,42,75,9,54,63,12,105,35,70
MN-511,Southwest Minnesota CoC,143,76,49,125,18,42,15,13,28,14,101,61,36,97,4,29,19,9,28,1,3,2,1
MO-500,St. Louis County CoC,458,263,133,396,62,115,46,18,64,51,343,217,115,332,11,107,68,36,104,3,59,29,30
MO-501,St.Louis City CoC,"1,386",627,546,"1,173",213,800,443,144,587,213,586,184,402,586,0,196,77,119,196,0,258,238,20
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",593,157,148,305,288,253,65,61,126,127,340,92,87,179,161,123,33,32,65,58,35,23,12
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",713,136,370,506,207,451,106,198,304,147,262,30,172,202,60,115,12,53,65,50,91,4,87
MO-602,"Joplin/Jasper, Newton Counties CoC",380,63,244,307,73,282,55,154,209,73,98,8,90,98,0,31,2,29,31,0,14,11,3
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",159,94,37,131,28,72,45,6,51,21,87,49,31,80,7,21,11,9,20,1,17,14,3
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS","2,260","1,041",628,"1,669",591,"1,262",650,255,905,357,998,391,373,764,234,292,116,113,229,63,570,448,122
MO-606,Missouri Balance of State CoC,"1,904",837,392,"1,229",675,"1,066",380,212,592,474,838,457,180,637,201,258,143,57,200,58,205,146,59
MS-500,"Jackson/Rankin, Madison Counties CoC","1,302",245,550,795,507,"1,208",217,486,703,505,94,28,64,92,2,28,9,18,27,1,656,342,314
MS-501,Mississippi Balance of State CoC,385,131,213,344,41,233,84,108,192,41,152,47,105,152,0,42,11,31,42,0,99,70,29
MS-503,Gulf Port/Gulf Coast Regional CoC,274,40,27,67,207,256,29,24,53,203,18,11,3,14,4,7,4,1,5,2,122,5,117
MT-500,Montana Statewide CoC,"1,417",578,429,"1,007",410,968,428,189,617,351,449,150,240,390,59,154,49,84,133,21,138,46,92
NC-500,Winston-Salem/Forsyth County CoC,452,278,145,423,29,366,265,72,337,29,86,13,73,86,0,28,5,23,28,0,141,136,5
NC-501,Asheville/Buncombe County CoC,509,266,163,429,80,407,206,124,330,77,102,60,39,99,3,34,17,14,31,3,175,112,63
NC-502,Durham City & County CoC,590,339,215,554,36,474,268,170,438,36,116,71,45,116,0,38,27,11,38,0,105,69,36
NC-503,North Carolina Balance of State CoC,"2,742","1,348",482,"1,830",912,"1,513",751,261,"1,012",501,"1,229",597,221,818,411,453,210,73,283,170,291,105,186
NC-504,"Greensboro, High Point CoC",987,415,464,879,108,680,321,263,584,96,307,94,201,295,12,95,26,64,90,5,101,51,50
NC-505,Charlotte/Mecklenberg CoC,"1,988",796,754,"1,550",438,"1,519",618,471,"1,089",430,469,178,283,461,8,170,56,106,162,8,261,232,29
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",496,229,198,427,69,319,169,83,252,67,177,60,115,175,2,44,20,23,43,1,106,77,29
NC-507,Raleigh/Wake County CoC,"1,144",681,390,"1,071",73,826,513,240,753,73,318,168,150,318,0,122,50,72,122,0,109,91,18
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",920,206,51,257,663,760,153,39,192,568,160,53,12,65,95,50,16,5,21,29,105,7,98
NC-511,Fayetteville/Cumberland County CoC,"1,074",104,162,266,808,606,79,15,94,512,468,25,147,172,296,117,9,29,38,79,115,14,101
NC-513,Chapel Hill/Orange County CoC,195,83,94,177,18,156,80,61,141,15,39,3,33,36,3,15,1,13,14,1,58,50,8
NC-516,Northwest North Carolina CoC,"1,314",118,44,162,"1,152","1,123",82,33,115,"1,008",191,36,11,47,144,65,12,5,17,48,260,20,240
ND-500,North Dakota Statewide CoC,615,394,202,596,19,375,259,103,362,13,240,135,99,234,6,72,42,28,70,2,51,50,1
NE-500,Nebraska Balance of State CoC,"1,637",309,928,"1,237",400,608,147,310,457,151,"1,029",162,618,780,249,344,44,208,252,92,78,53,25
NE-501,"Omaha, Council Bluffs CoC","1,197",707,418,"1,125",72,928,638,218,856,72,269,69,200,269,0,89,31,58,89,0,550,500,50
NE-502,Lincoln CoC,"1,151",428,437,865,286,708,267,244,511,197,443,161,193,354,89,179,42,69,111,68,79,74,5
NH-500,New Hampshire Balance of State CoC,986,464,366,830,156,543,300,144,444,99,443,164,222,386,57,118,36,61,97,21,213,148,65
NH-501,Manchester CoC,576,206,167,373,203,405,153,52,205,200,171,53,115,168,3,54,14,39,53,1,114,97,17
NH-502,Nashua/Hillsborough County CoC,457,226,106,332,125,224,93,43,136,88,233,133,63,196,37,78,41,24,65,13,110,52,58
NJ-500,Atlantic City & County CoC,476,377,21,398,78,382,293,17,310,72,94,84,4,88,6,40,35,2,37,3,85,72,13
NJ-501,Bergen County CoC,"1,627",278,"1,236","1,514",113,690,172,415,587,103,937,106,821,927,10,333,41,287,328,5,58,36,22
NJ-502,Burlington County CoC,896,613,167,780,116,610,393,115,508,102,286,220,52,272,14,152,112,33,145,7,218,187,31
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC","1,454",889,222,"1,111",343,856,508,121,629,227,598,381,101,482,116,184,122,33,155,29,163,108,55
NJ-504,Newark/Essex County CoC,"1,036",749,135,884,152,683,482,86,568,115,353,267,49,316,37,84,53,16,69,15,128,110,18
NJ-506,"Jersey City, Bayonne/Hudson County CoC","2,227","1,694",282,"1,976",251,682,440,64,504,178,"1,545","1,254",218,"1,472",73,548,473,59,532,16,93,63,30
NJ-507,New Brunswick/Middlesex County CoC,792,275,270,545,247,394,151,110,261,133,398,124,160,284,114,125,42,57,99,26,61,42,19
NJ-508,Monmouth County CoC,763,429,247,676,87,311,211,44,255,56,452,218,203,421,31,140,62,70,132,8,84,74,10
NJ-509,Morris County CoC,224,96,93,189,35,148,72,41,113,35,76,24,52,76,0,30,10,20,30,0,30,20,10
NJ-510,Lakewood Township/Ocean County CoC,337,262,47,309,28,188,149,11,160,28,149,113,36,149,0,51,40,11,51,0,40,36,4
NJ-511,Paterson/Passaic County CoC,518,219,95,314,204,338,129,51,180,158,180,90,44,134,46,58,27,22,49,9,51,26,25
NJ-512,Salem County CoC,310,157,145,302,8,136,104,27,131,5,174,53,118,171,3,59,15,43,58,1,28,26,2
NJ-513,Somerset County CoC,302,100,185,285,17,177,47,116,163,14,125,53,69,122,3,36,16,19,35,1,12,7,5
NJ-514,Trenton/Mercer County CoC,989,530,321,851,138,522,325,125,450,72,467,205,196,401,66,110,53,40,93,17,82,62,20
NJ-515,Elizabeth/Union County CoC,"1,188",347,725,"1,072",116,423,190,129,319,104,765,157,596,753,12,272,41,229,270,2,79,46,33
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",693,377,277,654,39,308,190,93,283,25,385,187,184,371,14,137,72,61,133,4,57,53,4
NM-500,Albuquerque CoC,"1,276",473,516,989,287,821,402,204,606,215,455,71,312,383,72,147,24,100,124,23,159,78,81
NM-501,New Mexico Balance of State CoC,"1,739",485,274,759,980,"1,040",341,116,457,583,699,144,158,302,397,220,48,54,102,118,552,167,385
NV-500,Las Vegas/Clark County CoC,"7,533",976,"2,868","3,844","3,689","5,624",900,"2,002","2,902","2,722","1,909",76,866,942,967,606,30,255,285,321,808,174,634
NV-501,"Reno, Sparks/Washoe County CoC",863,420,345,765,98,742,379,268,647,95,121,41,77,118,3,40,16,23,39,1,33,0,33
NV-502,Nevada Balance of State CoC,330,129,125,254,76,146,61,48,109,37,184,68,77,145,39,63,32,24,56,7,113,50,63
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",595,378,213,591,4,320,230,86,316,4,275,148,127,275,0,112,65,47,112,0,83,79,4
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",177,28,148,176,1,151,16,134,150,1,26,12,14,26,0,9,3,6,9,0,2,2,0
NY-503,Albany City & County CoC,538,363,103,466,72,384,245,76,321,63,154,118,27,145,9,56,41,12,53,3,66,30,36
NY-504,Cattaragus County CoC,69,13,41,54,15,48,6,27,33,15,21,7,14,21,0,8,3,5,8,0,0,0,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",731,362,346,708,23,600,306,277,583,17,131,56,69,125,6,51,18,28,46,5,107,98,9
NY-507,Schenectady City & County CoC,195,111,18,129,66,152,89,4,93,59,43,22,14,36,7,15,7,5,12,3,30,11,19
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","1,250",467,564,"1,031",219,837,324,306,630,207,413,143,258,401,12,127,39,84,123,4,260,123,137
NY-510,Ithaca/Tompkins County CoC,78,38,24,62,16,46,30,0,30,16,32,8,24,32,0,10,2,8,10,0,8,6,2
NY-512,Troy/Rensselaer County CoC,193,107,27,134,59,88,23,11,34,54,105,84,16,100,5,39,30,7,37,2,29,10,19
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",88,88,0,88,0,47,47,0,47,0,41,41,0,41,0,16,16,0,16,0,5,5,0
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",65,19,44,63,2,9,5,2,7,2,56,14,42,56,0,26,6,20,26,0,0,0,0
NY-516,Clinton County CoC,53,42,6,48,5,50,42,3,45,5,3,0,3,3,0,1,0,1,1,0,3,3,0
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",316,179,121,300,16,186,129,41,170,16,130,50,80,130,0,40,20,20,40,0,21,10,11
NY-519,"Columbia, Greene Counties CoC",172,141,31,172,0,96,77,19,96,0,76,64,12,76,0,26,22,4,26,0,5,5,0
NY-520,"Franklin, Essex Counties CoC",10,6,0,6,4,10,6,0,6,4,0,0,0,0,0,0,0,0,0,0,5,4,1
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",297,145,147,292,5,249,97,147,244,5,48,48,0,48,0,14,14,0,14,0,23,21,2
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",166,83,34,117,49,110,48,25,73,37,56,35,9,44,12,20,14,3,17,3,33,10,23
NY-600,New York City CoC,"50,261","39,019","7,936","46,955","3,306","19,994","11,890","4,798","16,688","3,306","30,267","27,129","3,138","30,267",0,"9,453","8,494",959,"9,453",0,"3,885","1,405","2,480"
NY-601,Poughkeepsie/Dutchess County CoC,547,219,244,463,84,288,114,119,233,55,259,105,125,230,29,93,34,49,83,10,163,88,75
NY-602,"Newburgh, Middletown/Orange County CoC",311,177,40,217,94,208,122,0,122,86,103,55,40,95,8,35,17,15,32,3,78,55,23
NY-603,"Nassau, Suffolk Counties CoC","2,509","1,851",500,"2,351",158,789,377,254,631,158,"1,720","1,474",246,"1,720",0,534,467,67,534,0,52,37,15
NY-604,"Yonkers, Mount Vernon/Westchester County CoC","1,829",514,"1,179","1,693",136,690,396,158,554,136,"1,139",118,"1,021","1,139",0,365,38,327,365,0,140,43,97
NY-606,Rockland County CoC,141,38,46,84,57,91,1,33,34,57,50,37,13,50,0,21,15,6,21,0,30,13,17
NY-607,Sullivan County CoC,139,109,0,109,30,53,32,0,32,21,86,77,0,77,9,25,23,0,23,2,12,6,6
NY-608,Kingston/Ulster County CoC,395,122,85,207,188,275,50,82,132,143,120,72,3,75,45,36,22,1,23,13,49,7,42
OH-500,Cincinnati/Hamilton County CoC,"1,116",632,429,"1,061",55,726,448,223,671,55,390,184,206,390,0,118,55,63,118,0,269,246,23
OH-501,Toledo/Lucas County CoC,959,354,351,705,254,653,292,185,477,176,306,62,166,228,78,106,22,51,73,33,256,212,44
OH-502,Cleveland/Cuyahoga County CoC,"2,242","1,249",842,"2,091",151,"1,790","1,030",619,"1,649",141,452,219,223,442,10,149,72,74,146,3,698,620,78
OH-503,Columbus/Franklin County CoC,"1,341","1,089",135,"1,224",117,851,629,105,734,117,490,460,30,490,0,148,134,14,148,0,238,133,105
OH-504,Youngstown/Mahoning County CoC,236,93,132,225,11,121,75,35,110,11,115,18,97,115,0,41,7,34,41,0,22,18,4
OH-505,"Dayton, Kettering/Montgomery County CoC",844,611,203,814,30,484,354,100,454,30,360,257,103,360,0,119,79,40,119,0,74,65,9
OH-506,"Akron, Barberton/Summit County CoC",740,325,311,636,104,490,236,157,393,97,250,89,154,243,7,82,28,52,80,2,212,142,70
OH-507,Ohio Balance of State CoC,"4,525","1,551","1,674","3,225","1,300","2,242",917,546,"1,463",779,"2,283",634,"1,128","1,762",521,758,197,385,582,176,364,201,163
OH-508,"Canton, Massillon, Alliance/Stark County CoC",909,209,187,396,513,508,119,46,165,343,401,90,141,231,170,128,32,43,75,53,119,36,83
OK-500,North Central Oklahoma CoC,241,197,18,215,26,136,95,18,113,23,105,102,0,102,3,34,33,0,33,1,6,2,4
OK-501,Tulsa City & County CoC,729,504,190,694,35,576,406,140,546,30,153,98,50,148,5,50,33,15,48,2,79,70,9
OK-502,Oklahoma City CoC,"1,335",616,397,"1,013",322,"1,053",512,250,762,291,282,104,147,251,31,96,28,56,84,12,304,141,163
OK-503,Oklahoma Balance of State CoC,157,98,53,151,6,98,72,20,92,6,59,26,33,59,0,21,11,10,21,0,7,7,0
OK-504,Norman/Cleveland County CoC,578,63,115,178,400,304,41,51,92,212,274,22,64,86,188,85,9,26,35,50,60,16,44
OK-505,Northeast Oklahoma CoC,370,160,42,202,168,257,87,42,129,128,113,73,0,73,40,36,23,0,23,13,77,74,3
OK-506,Southwest Oklahoma Regional CoC,168,106,46,152,16,110,97,0,97,13,58,9,46,55,3,20,3,16,19,1,13,7,6
OK-507,Southeastern Oklahoma Regional CoC,268,189,9,198,70,140,69,5,74,66,128,120,4,124,4,35,31,2,33,2,15,14,1
OR-500,"Eugene, Springfield/Lane County CoC","2,137",693,672,"1,365",772,"1,175",495,201,696,479,962,198,471,669,293,290,64,160,224,66,640,456,184
OR-501,"Portland, Gresham/Multnomah County CoC","3,918",674,"1,610","2,284","1,634","3,005",576,866,"1,442","1,563",913,98,744,842,71,317,35,252,287,30,596,210,386
OR-502,"Medford, Ashland/Jackson County CoC",654,628,0,628,26,366,340,0,340,26,288,288,0,288,0,119,119,0,119,0,134,108,26
OR-503,Central Oregon CoC,"1,736",148,122,270,"1,466",583,93,19,112,471,"1,153",55,103,158,995,358,18,31,49,309,306,54,252
OR-505,Oregon Balance of State CoC,"9,860","2,328","2,542","4,870","4,990","5,005","1,618",986,"2,604","2,401","4,855",710,"1,556","2,266","2,589","1,567",227,506,733,834,"1,245",667,578
OR-506,"Hillsboro, Beaverton/Washington County CoC",772,95,268,363,409,256,12,13,25,231,516,83,255,338,178,169,22,95,117,52,233,3,230
OR-507,Clackamas County CoC,"1,576",101,65,166,"1,410","1,158",26,15,41,"1,117",418,75,50,125,293,124,24,20,44,80,192,4,188
PA-500,Philadelphia CoC,"6,871","3,279","3,135","6,414",457,"3,479","1,895","1,127","3,022",457,"3,392","1,384","2,008","3,392",0,"1,087",437,650,"1,087",0,600,189,411
PA-501,Harrisburg/Dauphin County CoC,421,206,149,355,66,228,119,52,171,57,193,87,97,184,9,72,32,37,69,3,96,48,48
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",653,287,323,610,43,248,160,45,205,43,405,127,278,405,0,128,45,83,128,0,92,63,29
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",171,79,82,161,10,107,68,29,97,10,64,11,53,64,0,21,4,17,21,0,14,13,1
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",479,216,239,455,24,176,128,24,152,24,303,88,215,303,0,92,27,65,92,0,74,62,12
PA-505,Chester County CoC,314,137,149,286,28,130,100,30,130,0,184,37,119,156,28,65,14,36,50,15,56,56,0
PA-506,Reading/Berks County CoC,496,208,221,429,67,287,152,68,220,67,209,56,153,209,0,75,23,52,75,0,32,14,18
PA-508,Scranton/Lackawanna County CoC,260,81,141,222,38,109,43,44,87,22,151,38,97,135,16,51,11,34,45,6,40,25,15
PA-509,Eastern Pennsylvania CoC,"1,759",725,921,"1,646",113,773,407,273,680,93,986,318,648,966,20,332,106,220,326,6,152,103,49
PA-510,Lancaster City & County CoC,707,172,496,668,39,386,105,242,347,39,321,67,254,321,0,129,25,104,129,0,47,31,16
PA-511,"Bristol, Bensalem/Bucks County CoC",485,103,378,481,4,150,30,116,146,4,335,73,262,335,0,104,21,83,104,0,0,0,0
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","1,308",282,806,"1,088",220,837,204,413,617,220,471,78,393,471,0,164,29,135,164,0,222,110,112
PA-601,Western Pennsylvania CoC,862,341,454,795,67,434,201,178,379,55,428,140,276,416,12,141,46,90,136,5,76,60,16
PA-603,Beaver County CoC,213,12,119,131,82,189,9,101,110,79,24,3,18,21,3,8,1,6,7,1,60,28,32
PA-605,Erie City & County CoC,379,208,130,338,41,201,136,42,178,23,178,72,88,160,18,57,18,32,50,7,61,57,4
PR-502,Puerto Rico Balance of Commonwealth CoC,707,0,8,8,699,663,0,8,8,655,44,0,0,0,44,22,0,0,0,22,"1,488",567,921
PR-503,South-Southeast Puerto Rico CoC,"2,305",298,504,802,"1,503","2,005",223,432,655,"1,350",300,75,72,147,153,69,22,23,45,24,"1,429",459,970
RI-500,Rhode Island Statewide CoC,"1,196",734,408,"1,142",54,714,437,223,660,54,482,297,185,482,0,181,84,97,181,0,245,208,37
SC-500,Charleston/Low Country CoC,539,290,192,482,57,432,239,142,381,51,107,51,50,101,6,40,19,18,37,3,46,39,7
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC","1,606",673,427,"1,100",506,"1,127",541,168,709,418,479,132,259,391,88,154,49,83,132,22,232,215,17
SC-502,Columbia/Midlands CoC,"1,569",531,415,946,623,"1,278",403,317,720,558,291,128,98,226,65,97,44,34,78,19,185,105,80
SC-503,"Myrtle Beach, Sumter City & County CoC","1,946",186,372,558,"1,388",972,79,142,221,751,974,107,230,337,637,164,26,53,79,85,280,39,241
SD-500,South Dakota Statewide CoC,579,269,269,538,41,268,138,97,235,33,311,131,172,303,8,108,46,58,104,4,104,79,25
TN-500,Chattanooga/Southeast Tennessee CoC,87,39,33,72,15,0,0,0,0,0,87,39,33,72,15,37,14,11,25,12,679,44,635
TN-501,Memphis/Shelby County CoC,"1,566",353,"1,129","1,482",84,"1,007",253,672,925,82,559,100,457,557,2,215,36,178,214,1,66,39,27
TN-502,Knoxville/Knox County CoC,930,424,392,816,114,812,409,297,706,106,118,15,95,110,8,47,9,35,44,3,277,214,63
TN-503,Central Tennessee CoC,328,110,129,239,89,242,69,115,184,58,86,41,14,55,31,27,10,5,15,12,36,25,11
TN-504,Nashville-Davidson County CoC,"2,217","1,187",564,"1,751",466,"1,816",930,420,"1,350",466,401,257,144,401,0,134,86,48,134,0,"1,364",898,466
TN-506,Upper Cumberland CoC,704,176,20,196,508,333,102,14,116,217,371,74,6,80,291,133,27,2,29,104,217,79,138
TN-507,Jackson/West Tennessee CoC,"2,187",136,115,251,"1,936","1,996",105,80,185,"1,811",191,31,35,66,125,75,10,13,23,52,293,50,243
TN-509,Appalachian Regional CoC,559,306,39,345,214,478,249,23,272,206,81,57,16,73,8,26,18,5,23,3,88,46,42
TN-510,Murfreesboro/Rutherford County CoC,223,75,0,75,148,176,45,0,45,131,47,30,0,30,17,16,14,0,14,2,89,15,74
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",904,169,264,433,471,382,32,14,46,336,522,137,250,387,135,173,45,72,117,56,255,28,227
TX-500,San Antonio/Bexar County CoC,"4,063","1,116","1,402","2,518","1,545","2,797",825,538,"1,363","1,434","1,266",291,864,"1,155",111,419,85,285,370,49,520,195,325
TX-503,Austin/Travis County CoC,"3,451",846,459,"1,305","2,146","2,881",609,156,765,"2,116",570,237,303,540,30,160,71,80,151,9,919,242,677
TX-600,"Dallas City & County, Irving CoC","3,558","2,226","1,119","3,345",213,"2,286","1,674",399,"2,073",213,"1,272",552,720,"1,272",0,433,202,231,433,0,620,522,98
TX-601,"Fort Worth, Arlington/Tarrant County CoC","2,676","1,226","1,247","2,473",203,"1,442",923,316,"1,239",203,"1,234",303,931,"1,234",0,394,98,296,394,0,519,426,93
TX-603,El Paso City & County CoC,"1,241",629,339,968,273,804,438,93,531,273,437,191,246,437,0,133,56,77,133,0,208,72,136
TX-604,Waco/McLennan County CoC,431,108,151,259,172,321,90,86,176,145,110,18,65,83,27,38,7,25,32,6,70,32,38
TX-607,Texas Balance of State CoC,"13,298","5,691","1,568","7,259","6,039","8,628","3,574",926,"4,500","4,128","4,670","2,117",642,"2,759","1,911","1,204",474,197,671,533,"2,070","1,032","1,038"
TX-611,Amarillo CoC,540,395,91,486,54,351,291,6,297,54,189,104,85,189,0,61,36,25,61,0,45,33,12
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",280,231,0,231,49,233,184,0,184,49,47,47,0,47,0,14,14,0,14,0,206,157,49
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","10,363","2,288","2,729","5,017","5,346","8,054","1,653","1,207","2,860","5,194","2,309",635,"1,522","2,157",152,668,183,440,623,45,"3,627",906,"2,721"
TX-701,"Bryan, College Station/Brazos Valley CoC",289,120,99,219,70,153,86,21,107,46,136,34,78,112,24,34,11,17,28,6,40,39,1
UT-500,Salt Lake City & County CoC,"2,296","1,279",859,"2,138",158,"1,428",867,403,"1,270",158,868,412,456,868,0,270,125,145,270,0,475,317,158
UT-503,Utah Balance of State CoC,878,348,479,827,51,476,235,190,425,51,402,113,289,402,0,139,46,93,139,0,174,123,51
UT-504,Provo/Mountainland CoC,260,103,110,213,47,114,37,30,67,47,146,66,80,146,0,47,22,25,47,0,53,6,47
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC","1,073",349,558,907,166,831,257,408,665,166,242,92,150,242,0,89,32,57,89,0,72,39,33
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",602,407,102,509,93,378,284,27,311,67,224,123,75,198,26,78,38,23,61,17,87,61,26
VA-502,"Roanoke City & County, Salem CoC",504,368,129,497,7,379,275,97,372,7,125,93,32,125,0,42,31,11,42,0,181,178,3
VA-503,Virginia Beach CoC,484,249,157,406,78,233,127,30,157,76,251,122,127,249,2,80,38,41,79,1,88,42,46
VA-504,Charlottesville CoC,239,156,68,224,15,183,134,34,168,15,56,22,34,56,0,17,7,10,17,0,82,77,5
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",526,382,104,486,40,394,330,26,356,38,132,52,78,130,2,43,19,23,42,1,147,117,30
VA-507,Portsmouth CoC,222,121,56,177,45,167,94,28,122,45,55,27,28,55,0,21,9,12,21,0,49,17,32
VA-508,Lynchburg CoC,256,147,64,211,45,133,56,33,89,44,123,91,31,122,1,45,35,9,44,1,53,30,23
VA-513,"Harrisburg, Winchester/Western Virginia CoC",245,132,56,188,57,108,77,5,82,26,137,55,51,106,31,46,16,16,32,14,41,36,5
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",194,101,26,127,67,123,62,1,63,60,71,39,25,64,7,25,13,9,22,3,54,18,36
VA-521,Virginia Balance of State CoC,863,346,213,559,304,443,159,100,259,184,420,187,113,300,120,150,65,41,106,44,115,55,60
VA-600,Arlington County CoC,410,122,109,231,179,284,87,18,105,179,126,35,91,126,0,41,12,29,41,0,156,27,129
VA-601,Fairfax County CoC,"1,835",658,965,"1,623",212,744,395,137,532,212,"1,091",263,828,"1,091",0,311,74,237,311,0,402,226,176
